0.1421916:switchBaud: 115200
0.2125801:Opening COM3 at 115200...
0.2160729:send: ccw_tada
0.2380617:switchBaud: 115200
0.2411101:send: aaaaaa006500006f58d6d755
0.2499539:recv: aaaaaa0065012802000f000200000020000000d320a0000000000009121bbc001000000046c3230046
0.26522:recv: c323004e7253fb9f215455
0.2716168:send: aaaaaa0066050c40420f00f401000000000000007c508555
0.2811917:recv: aaaaaa00660100740559cf55
0.2826179:switchBaud: 1000000
0.4295834:Opening COM3 at 1000000...
0.4310535:send: aaaaaa006700006cdc02b955
0.4566942:recv: aaaaaa0067012802000f000200000020000000d320a0000000000009121bbc001000000046c3230046c323004e725375b8cca255
